feature;importance
wheelsoff;0.4628020074316001
crsarrtime;0.15776158531754964
arrtime;0.14391129676953793
departuredelaygroups;0.08010868429709339
deptime;0.0578107361020138
taxiout;0.03244803148114123
arrivaldelaygroups;0.01611636562887592
depdelayminutes;0.014890176839621844
crsdeptime;0.013839748955327575
wheelson;0.007300008240948187
